Date,Price,Open,High,Low,Volume,Chg%
2018-11-28,1614.221,1611.2,1621.4289999999999,1604.31,8400,0.11
2018-11-27,1612.4189999999999,1621.0049999999999,1624.344,1610.617,7860,-0.49
2018-11-26,1620.422,1615.0159999999998,1625.616,1614.9099999999999,7680,0.2
2018-11-23,1617.1889999999999,1619.203,1619.998,1612.6309999999999,4660,-0.33
2018-11-22,1622.489,1635.156,1637.647,1619.415,9810,-0.73
2018-11-21,1634.4669999999999,1632.3999999999999,1638.23,1629.75,7740,0.03
2018-11-20,1633.99,1632.983,1642.682,1632.3999999999999,8350,-0.19
2018-11-19,1637.0639999999999,1646.604,1646.604,1631.605,8150,-0.42
2018-11-16,1643.9009999999998,1635.368,1651.374,1633.99,10100,0.6
2018-11-15,1634.043,1633.99,1639.767,1629.9089999999999,8710,-0.02
2018-11-14,1634.414,1627.1,1635.951,1622.86,7550,0.19
2018-11-13,1631.234,1648.83,1648.83,1630.068,8280,-0.76
2018-11-12,1643.742,1648.618,1652.434,1641.675,7770,-0.03
2018-11-09,1644.219,1659.0059999999999,1663.299,1641.145,10710,-1.23
2018-11-08,1664.624,1672.203,1672.203,1655.402,6110,-0.61
2018-11-07,1674.906,1677.98,1678.934,1671.09,1800,-0.17
2018-11-06,1677.821,1681.0539999999999,1689.057,1676.973,9160,-0.4
2018-11-05,1684.499,1684.605,1690.594,1676.3899999999999,180,0.14
2018-11-02,1682.061,1682.061,1695.947,1671.09,540,-0.14
2018-11-01,1684.499,1678.5629999999999,1686.354,1675.807,1580,0.48
2018-10-31,1676.443,1677.45,1684.34,1674.27,5670,-0.3
2018-10-30,1681.425,1683.0149999999999,1684.817,1677.503,5960,-0.02
2018-10-29,1681.69,1687.8909999999998,1687.8909999999998,1679.676,6670,-0.11
2018-10-26,1683.492,1684.287,1695.629,1681.425,13310,0.26
2018-10-25,1679.1989999999998,1685.3999999999999,1691.336,1678.139,9540,-0.13
2018-10-24,1681.319,1686.46,1687.732,1674.0049999999999,9820,-0.46
2018-10-23,1689.163,1681.213,1698.809,1681.213,13470,0.45
2018-10-22,1681.637,1682.114,1682.697,1676.973,6730,-0.03
2018-10-19,1682.061,1685.665,1688.951,1680.259,7590,-0.46
2018-10-18,1689.905,1678.51,1691.177,1676.8139999999999,5540,0.58
2018-10-17,1680.206,1678.51,1687.4669999999999,1676.655,8630,0.0
2018-10-16,1680.153,1689.481,1693.721,1679.04,10710,-0.55
2018-10-15,1689.481,1681.319,1699.975,1681.319,14310,0.65
